0 GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_BUILDTIME | TO | M_GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_BUILDTIME
3165 ANGMAR_MILL_LVL3_UPGRADE_TIME | TO | M_ANGMAR_MILL_LVL3_UPGRADE_TIME
3166 ANGMAR_MILL_LVL3_UPGRADE_COST | TO | M_ANGMAR_MILL_LVL3_UPGRADE_COST
3167 ANGMAR_MILL_LVL2_UPGRADE_TIME | TO | M_ANGMAR_MILL_LVL2_UPGRADE_TIME
3168 ANGMAR_MILL_LVL2_UPGRADE_COST | TO | M_ANGMAR_MILL_LVL2_UPGRADE_COST
3169 ANGMAR_FORGEWORKS_LVL3_HP_ADD | TO | M_ANGMAR_FORGEWORKS_LVL3_HP_ADD
3170 ANGMAR_FORGEWORKS_LVL2_HP_ADD | TO | M_ANGMAR_FORGEWORKS_LVL2_HP_ADD
3171 ANGMAR_TROLLSLING_STAB_DAMAGE | TO | M_ANGMAR_TROLLSLING_STAB_DAMAGE
3172 ANGMAR_GUNDABAD_ORC_BUILDCOST | TO | M_ANGMAR_GUNDABAD_ORC_BUILDCOST
3173 ANGMAR_RHUDAURSLING_BUILDTIME | TO | M_ANGMAR_RHUDAURSLING_BUILDTIME
3174 ANGMAR_RHUDAURSLING_BUILDCOST | TO | M_ANGMAR_RHUDAURSLING_BUILDCOST
3175 ANGMAR_RHUDAURSPEAR_BUILDTIME | TO | M_ANGMAR_RHUDAURSPEAR_BUILDTIME
3176 ANGMAR_RHUDAURSPEAR_BUILDCOST | TO | M_ANGMAR_RHUDAURSPEAR_BUILDCOST
3177 ANGMAR_HILLTROLL_BOUNTY_VALUE | TO | M_ANGMAR_HILLTROLL_BOUNTY_VALUE
3178 ANGMAR_HILLTROLL_SHROUD_RANGE | TO | M_ANGMAR_HILLTROLL_SHROUD_RANGE
3179 ANGMAR_HILLTROLL_VISION_RANGE | TO | M_ANGMAR_HILLTROLL_VISION_RANGE
3180 ANGMAR_SNOWTROLL_BOUNTY_VALUE | TO | M_ANGMAR_SNOWTROLL_BOUNTY_VALUE
3181 ANGMAR_SNOWTROLL_SHROUD_RANGE | TO | M_ANGMAR_SNOWTROLL_SHROUD_RANGE
3182 ANGMAR_SNOWTROLL_VISION_RANGE | TO | M_ANGMAR_SNOWTROLL_VISION_RANGE
3183 ANGMAR_WOLFRIDER_BOUNTY_VALUE | TO | M_ANGMAR_WOLFRIDER_BOUNTY_VALUE
3184 ANGMAR_DIREWOLF_SWORD_UPGRADE | TO | M_ANGMAR_DIREWOLF_SWORD_UPGRADE
3185 ANGMAR_RANGER_LONGSHOT_DAMAGE | TO | M_ANGMAR_RANGER_LONGSHOT_DAMAGE
3186 ANGMAR_DARKDUNEDAIN_BUILDTIME | TO | M_ANGMAR_DARKDUNEDAIN_BUILDTIME
3187 ANGMAR_DARKDUNEDAIN_BUILDCOST | TO | M_ANGMAR_DARKDUNEDAIN_BUILDCOST
3188 ANGMAR_PEASANT_HEALTH_DAMAGED | TO | M_ANGMAR_PEASANT_HEALTH_DAMAGED
3189 ROHAN_FLAG_CASTLE_UNPACK_COST | TO | M_ROHAN_FLAG_CASTLE_UNPACK_COST
3190 ROHAN_HEROSTATUE_BOUNTY_VALUE | TO | M_ROHAN_HEROSTATUE_BOUNTY_VALUE
3191 ROHAN_ARMORY_LVL3_BUILD_SPEED | TO | M_ROHAN_ARMORY_LVL3_BUILD_SPEED
3192 ROHAN_ARMORY_LVL2_BUILD_SPEED | TO | M_ROHAN_ARMORY_LVL2_BUILD_SPEED
3193 ROHAN_ARMORY_MAXHEALTHDAMAGED | TO | M_ROHAN_ARMORY_MAXHEALTHDAMAGED
3194 ROHAN_STABLES_LVL3_EXP_NEEDED | TO | M_ROHAN_STABLES_LVL3_EXP_NEEDED
3195 ROHAN_STABLES_LVL2_EXP_NEEDED | TO | M_ROHAN_STABLES_LVL2_EXP_NEEDED
3196 ROHAN_ROHIRRIM_FIRINGDURATION | TO | M_ROHAN_ROHIRRIM_FIRINGDURATION
3197 ROHAN_ROHIRRIM_PREATTACKDELAY | TO | M_ROHAN_ROHIRRIM_PREATTACKDELAY
3198 ROHAN_ROHIRRIM_HEALTH_DAMAGED | TO | M_ROHAN_ROHIRRIM_HEALTH_DAMAGED
3199 MEN_WALLTOWER_SMALL_BUILDTIME | TO | M_MEN_WALLTOWER_SMALL_BUILDTIME
3200 MEN_WALLTOWER_SMALL_BUILDCOST | TO | M_MEN_WALLTOWER_SMALL_BUILDCOST
3201 WALL_TOWER_BOW_DAMAGE_UPGRADE | TO | M_WALL_TOWER_BOW_DAMAGE_UPGRADE
3202 GONDOR_STRUCTURE_ARCHER_RANGE | TO | M_GONDOR_STRUCTURE_ARCHER_RANGE
3203 GONDOR_GRANDHARVEST_BUILDTIME | TO | M_GONDOR_GRANDHARVEST_BUILDTIME
3204 GONDOR_GRANDHARVEST_BUILDCOST | TO | M_GONDOR_GRANDHARVEST_BUILDCOST
3205 SPAWN_LONE_TOWER_DECAL_RADIUS | TO | M_SPAWN_LONE_TOWER_DECAL_RADIUS
3206 GONDOR_STABLES_LVL3_EXP_AWARD | TO | M_GONDOR_STABLES_LVL3_EXP_AWARD
3207 GONDOR_STABLES_LVL2_EXP_AWARD | TO | M_GONDOR_STABLES_LVL2_EXP_AWARD
3208 GONDOR_STABLES_LVL1_EXP_AWARD | TO | M_GONDOR_STABLES_LVL1_EXP_AWARD
3209 GONDOR_STABLES_HEALTH_DAMAGED | TO | M_GONDOR_STABLES_HEALTH_DAMAGED
3210 GONDOR_ARCHERYRANGE_BUILDTIME | TO | M_GONDOR_ARCHERYRANGE_BUILDTIME
3211 GONDOR_ARCHERYRANGE_BUILDCOST | TO | M_GONDOR_ARCHERYRANGE_BUILDCOST
3212 MEN_DORMITORYEXPANSION_HEALTH | TO | M_MEN_DORMITORYEXPANSION_HEALTH
3213 MEN_TREBUCHETEXPANSION_HEALTH | TO | M_MEN_TREBUCHETEXPANSION_HEALTH
3214 GONDOR_BANNER_LVL4_EXP_NEEDED | TO | M_GONDOR_BANNER_LVL4_EXP_NEEDED
3215 GONDOR_BANNER_LVL3_EXP_NEEDED | TO | M_GONDOR_BANNER_LVL3_EXP_NEEDED
3216 GONDOR_BANNER_LVL2_EXP_NEEDED | TO | M_GONDOR_BANNER_LVL2_EXP_NEEDED
3217 GONDOR_TREBUCHET_BOUNTY_VALUE | TO | M_GONDOR_TREBUCHET_BOUNTY_VALUE
3218 GONDOR_TREBUCHET_VISION_RANGE | TO | M_GONDOR_TREBUCHET_VISION_RANGE
3219 GONDOR_RANGER_LONGSHOT_DAMAGE | TO | M_GONDOR_RANGER_LONGSHOT_DAMAGE
3220 GONDOR_KNIGHTSOFDOL_BUILDTIME | TO | M_GONDOR_KNIGHTSOFDOL_BUILDTIME
3221 GONDOR_KNIGHTSOFDOL_BUILDCOST | TO | M_GONDOR_KNIGHTSOFDOL_BUILDCOST
3222 GONDOR_SOLDIER_HEALTH_DAMAGED | TO | M_GONDOR_SOLDIER_HEALTH_DAMAGED
3223 GONDOR_PEASANT_HEALTH_DAMAGED | TO | M_GONDOR_PEASANT_HEALTH_DAMAGED
3224 ELVEN_STATUE_AOE_RADIUS_DECAL | TO | M_ELVEN_STATUE_AOE_RADIUS_DECAL
3225 ELVEN_VIGILANTENT_ROCK_DAMAGE | TO | M_ELVEN_VIGILANTENT_ROCK_DAMAGE
3226 ELVEN_ENCASINGVINES_BUILDTIME | TO | M_ELVEN_ENCASINGVINES_BUILDTIME
3227 ELVEN_ENCASINGVINES_BUILDCOST | TO | M_ELVEN_ENCASINGVINES_BUILDCOST
3228 ELVEN_FORTRESS_HEALTH_DAMAGED | TO | M_ELVEN_FORTRESS_HEALTH_DAMAGED
3229 ELVEN_GREEN_PASTURE_MAXHEALTH | TO | M_ELVEN_GREEN_PASTURE_MAXHEALTH
3230 ELVEN_GREEN_PASTURE_BUILDTIME | TO | M_ELVEN_GREEN_PASTURE_BUILDTIME
3231 ELVEN_GREEN_PASTURE_BUILDCOST | TO | M_ELVEN_GREEN_PASTURE_BUILDCOST
3232 ELVEN_BARRACKS_LVL3_EXP_AWARD | TO | M_ELVEN_BARRACKS_LVL3_EXP_AWARD
3233 ELVEN_BARRACKS_LVL2_EXP_AWARD | TO | M_ELVEN_BARRACKS_LVL2_EXP_AWARD
3234 ELVEN_BARRACKS_LVL1_EXP_AWARD | TO | M_ELVEN_BARRACKS_LVL1_EXP_AWARD
3235 ELVEN_BARRACKS_HEALTH_DAMAGED | TO | M_ELVEN_BARRACKS_HEALTH_DAMAGED
3236 ELVEN_MALLORN_TREE_MONEY_TIME | TO | M_ELVEN_MALLORN_TREE_MONEY_TIME
3237 ELVEN_NOLDORWARRIOR_BUILDTIME | TO | M_ELVEN_NOLDORWARRIOR_BUILDTIME
3238 ELVEN_NOLDORWARRIOR_BUILDCOST | TO | M_ELVEN_NOLDORWARRIOR_BUILDCOST
3239 ELVEN_LINDONWARRIOR_BUILDTIME | TO | M_ELVEN_LINDONWARRIOR_BUILDTIME
3240 ELVEN_LINDONWARRIOR_BUILDCOST | TO | M_ELVEN_LINDONWARRIOR_BUILDCOST
3241 ZEPHYR_STRIKE_SHOCKWAVE_SPEED | TO | M_ZEPHYR_STRIKE_SHOCKWAVE_SPEED
3242 ELVEN_LORIENWARRIOR_BUILDTIME | TO | M_ELVEN_LORIENWARRIOR_BUILDTIME
3243 ELVEN_LORIENWARRIOR_BUILDCOST | TO | M_ELVEN_LORIENWARRIOR_BUILDCOST
3244 GOOD_SHIP_FIRE_DAMAGE_TIMEOUT | TO | M_GOOD_SHIP_FIRE_DAMAGE_TIMEOUT
3245 DWARVEN_BARRACKS_BOUNTY_VALUE | TO | M_DWARVEN_BARRACKS_BOUNTY_VALUE
3246 DWARVEN_BARRACKS_SHROUD_CLEAR | TO | M_DWARVEN_BARRACKS_SHROUD_CLEAR
3247 DWARVEN_FORGE_LVL3_PRODUCTION | TO | M_DWARVEN_FORGE_LVL3_PRODUCTION
3248 DWARVEN_FORGE_LVL2_PRODUCTION | TO | M_DWARVEN_FORGE_LVL2_PRODUCTION
3249 DWARVEN_FORGE_LVL3_EXP_NEEDED | TO | M_DWARVEN_FORGE_LVL3_EXP_NEEDED
3250 DWARVEN_FORGE_LVL2_EXP_NEEDED | TO | M_DWARVEN_FORGE_LVL2_EXP_NEEDED
3251 DWARVEN_WALLGATE_SMALL_HEALTH | TO | M_DWARVEN_WALLGATE_SMALL_HEALTH
3252 DWARVEN_FORTRESS_BOUNTY_VALUE | TO | M_DWARVEN_FORTRESS_BOUNTY_VALUE
3253 DWARVEN_FORTRESS_SHROUD_CLEAR | TO | M_DWARVEN_FORTRESS_SHROUD_CLEAR
3254 DWARVEN_FORTRESS_VISION_RANGE | TO | M_DWARVEN_FORTRESS_VISION_RANGE
3255 DWARVEN_ZERKER_HEALTH_DAMAGED | TO | M_DWARVEN_ZERKER_HEALTH_DAMAGED
3256 DWARVEN_CATAPULT_BOUNTY_VALUE | TO | M_DWARVEN_CATAPULT_BOUNTY_VALUE
3257 DWARVEN_CATAPULT_HEADS_DAMAGE | TO | M_DWARVEN_CATAPULT_HEADS_DAMAGE
3258 DWARVEN_CATAPULT_FLAME_DAMAGE | TO | M_DWARVEN_CATAPULT_FLAME_DAMAGE
3259 DWARVEN_CATAPULT_VISION_RANGE | TO | M_DWARVEN_CATAPULT_VISION_RANGE
3260 DWARVEN_BANNER_LVL4_EXP_AWARD | TO | M_DWARVEN_BANNER_LVL4_EXP_AWARD
3261 DWARVEN_BANNER_LVL3_EXP_AWARD | TO | M_DWARVEN_BANNER_LVL3_EXP_AWARD
3262 DWARVEN_BANNER_LVL2_EXP_AWARD | TO | M_DWARVEN_BANNER_LVL2_EXP_AWARD
3263 DWARVEN_BANNER_LVL1_EXP_AWARD | TO | M_DWARVEN_BANNER_LVL1_EXP_AWARD
3264 DWARVEN_BANNER_HEALTH_DAMAGED | TO | M_DWARVEN_BANNER_HEALTH_DAMAGED
3265 DWARVEN_BATTLEWAGON_BUILDTIME | TO | M_DWARVEN_BATTLEWAGON_BUILDTIME
3266 DWARVEN_BATTLEWAGON_BUILDCOST | TO | M_DWARVEN_BATTLEWAGON_BUILDCOST
3267 DWARVEN_GUARDIAN_BOUNTY_VALUE | TO | M_DWARVEN_GUARDIAN_BOUNTY_VALUE
3268 DWARVEN_GUARDIAN_SHROUD_RANGE | TO | M_DWARVEN_GUARDIAN_SHROUD_RANGE
3269 DWARVEN_GUARDIAN_VISION_RANGE | TO | M_DWARVEN_GUARDIAN_VISION_RANGE
3270 DWARVEN_PORTER_HEALTH_DAMAGED | TO | M_DWARVEN_PORTER_HEALTH_DAMAGED
3271 EVIL_MONSTER_DAMAGE_ADD_LVL10 | TO | M_EVIL_MONSTER_DAMAGE_ADD_LVL10
3272 EVIL_MONSTER_RESIST_KNOCKBACK | TO | M_EVIL_MONSTER_RESIST_KNOCKBACK
3273 DWARF_MACHINE_DAMAGE_ADD_LVL5 | TO | M_DWARF_MACHINE_DAMAGE_ADD_LVL5
3274 DWARF_MACHINE_DAMAGE_ADD_LVL4 | TO | M_DWARF_MACHINE_DAMAGE_ADD_LVL4
3275 DWARF_MACHINE_DAMAGE_ADD_LVL3 | TO | M_DWARF_MACHINE_DAMAGE_ADD_LVL3
3276 DWARF_MACHINE_DAMAGE_ADD_LVL2 | TO | M_DWARF_MACHINE_DAMAGE_ADD_LVL2
3277 EXPERIENCE_AWARD_MINI_HORDE_9 | TO | M_EXPERIENCE_AWARD_MINI_HORDE_9
3278 EXPERIENCE_AWARD_MINI_HORDE_8 | TO | M_EXPERIENCE_AWARD_MINI_HORDE_8
3279 EXPERIENCE_AWARD_MINI_HORDE_7 | TO | M_EXPERIENCE_AWARD_MINI_HORDE_7
3280 EXPERIENCE_AWARD_MINI_HORDE_6 | TO | M_EXPERIENCE_AWARD_MINI_HORDE_6
3281 EXPERIENCE_AWARD_MINI_HORDE_5 | TO | M_EXPERIENCE_AWARD_MINI_HORDE_5
3282 EXPERIENCE_AWARD_MINI_HORDE_4 | TO | M_EXPERIENCE_AWARD_MINI_HORDE_4
3283 EXPERIENCE_AWARD_MINI_HORDE_3 | TO | M_EXPERIENCE_AWARD_MINI_HORDE_3
3284 EXPERIENCE_AWARD_MINI_HORDE_2 | TO | M_EXPERIENCE_AWARD_MINI_HORDE_2
3285 EXPERIENCE_AWARD_MINI_HORDE_1 | TO | M_EXPERIENCE_AWARD_MINI_HORDE_1
3286 EXPERIENCE_AWARD_GOOD_ELITE_5 | TO | M_EXPERIENCE_AWARD_GOOD_ELITE_5
3287 EXPERIENCE_AWARD_GOOD_ELITE_4 | TO | M_EXPERIENCE_AWARD_GOOD_ELITE_4
3288 EXPERIENCE_AWARD_GOOD_ELITE_3 | TO | M_EXPERIENCE_AWARD_GOOD_ELITE_3
3289 EXPERIENCE_AWARD_GOOD_ELITE_2 | TO | M_EXPERIENCE_AWARD_GOOD_ELITE_2
3290 EXPERIENCE_AWARD_GOOD_ELITE_1 | TO | M_EXPERIENCE_AWARD_GOOD_ELITE_1
3291 EXPERIENCE_AWARD_GOOD_HORSE_5 | TO | M_EXPERIENCE_AWARD_GOOD_HORSE_5
3292 EXPERIENCE_AWARD_GOOD_HORSE_4 | TO | M_EXPERIENCE_AWARD_GOOD_HORSE_4
3293 EXPERIENCE_AWARD_GOOD_HORSE_3 | TO | M_EXPERIENCE_AWARD_GOOD_HORSE_3
3294 EXPERIENCE_AWARD_GOOD_HORSE_2 | TO | M_EXPERIENCE_AWARD_GOOD_HORSE_2
3295 EXPERIENCE_AWARD_GOOD_HORSE_1 | TO | M_EXPERIENCE_AWARD_GOOD_HORSE_1
3296 EXPERIENCE_AWARD_GOOD_TROOP_5 | TO | M_EXPERIENCE_AWARD_GOOD_TROOP_5
3297 EXPERIENCE_AWARD_GOOD_TROOP_4 | TO | M_EXPERIENCE_AWARD_GOOD_TROOP_4
3298 EXPERIENCE_AWARD_GOOD_TROOP_3 | TO | M_EXPERIENCE_AWARD_GOOD_TROOP_3
3299 EXPERIENCE_AWARD_GOOD_TROOP_2 | TO | M_EXPERIENCE_AWARD_GOOD_TROOP_2
3300 EXPERIENCE_AWARD_GOOD_TROOP_1 | TO | M_EXPERIENCE_AWARD_GOOD_TROOP_1
3301 EXPERIENCE_AWARD_EVIL_HORSE_5 | TO | M_EXPERIENCE_AWARD_EVIL_HORSE_5
3302 EXPERIENCE_AWARD_EVIL_HORSE_4 | TO | M_EXPERIENCE_AWARD_EVIL_HORSE_4
3303 EXPERIENCE_AWARD_EVIL_HORSE_3 | TO | M_EXPERIENCE_AWARD_EVIL_HORSE_3
3304 EXPERIENCE_AWARD_EVIL_HORSE_2 | TO | M_EXPERIENCE_AWARD_EVIL_HORSE_2
3305 EXPERIENCE_AWARD_EVIL_HORSE_1 | TO | M_EXPERIENCE_AWARD_EVIL_HORSE_1
3306 EXPERIENCE_AWARD_EVIL_ELITE_5 | TO | M_EXPERIENCE_AWARD_EVIL_ELITE_5
3307 EXPERIENCE_AWARD_EVIL_ELITE_4 | TO | M_EXPERIENCE_AWARD_EVIL_ELITE_4
3308 EXPERIENCE_AWARD_EVIL_ELITE_3 | TO | M_EXPERIENCE_AWARD_EVIL_ELITE_3
3309 EXPERIENCE_AWARD_EVIL_ELITE_2 | TO | M_EXPERIENCE_AWARD_EVIL_ELITE_2
3310 EXPERIENCE_AWARD_EVIL_ELITE_1 | TO | M_EXPERIENCE_AWARD_EVIL_ELITE_1
3311 EXPERIENCE_AWARD_EVIL_TROOP_5 | TO | M_EXPERIENCE_AWARD_EVIL_TROOP_5
3312 EXPERIENCE_AWARD_EVIL_TROOP_4 | TO | M_EXPERIENCE_AWARD_EVIL_TROOP_4
3313 EXPERIENCE_AWARD_EVIL_TROOP_3 | TO | M_EXPERIENCE_AWARD_EVIL_TROOP_3
3314 EXPERIENCE_AWARD_EVIL_TROOP_2 | TO | M_EXPERIENCE_AWARD_EVIL_TROOP_2
3315 EXPERIENCE_AWARD_EVIL_TROOP_1 | TO | M_EXPERIENCE_AWARD_EVIL_TROOP_1
3316 ARCHER_BOMBARD_SCATTER_RADIUS | TO | M_ARCHER_BOMBARD_SCATTER_RADIUS
3317 DORMITORY_COMMAND_POINT_BONUS | TO | M_DORMITORY_COMMAND_POINT_BONUS
3318 ROGASH_DOMINATE_OBJECT_FILTER | TO | M_ROGASH_DOMINATE_OBJECT_FILTER
3319 EMOTION_AFRAIDOF_OBJECTFILTER | TO | M_EMOTION_AFRAIDOF_OBJECTFILTER
3320 GENERIC_FACTION_SLAUGHTERABLE | TO | M_GENERIC_FACTION_SLAUGHTERABLE
3321 BURNINGDEATH_DURATION_CAVALRY | TO | M_BURNINGDEATH_DURATION_CAVALRY
3322 DEFAULT_REGION_RESOURCE_BONUS | TO | M_DEFAULT_REGION_RESOURCE_BONUS
3323 CAH_SPAWNTORNADO_LEVEL3_COST | TO | M_CAH_SPAWNTORNADO_LEVEL3_COST
3324 CAH_SPAWNTORNADO_LEVEL2_COST | TO | M_CAH_SPAWNTORNADO_LEVEL2_COST
3325 CAH_SPAWNTORNADO_LEVEL1_COST | TO | M_CAH_SPAWNTORNADO_LEVEL1_COST
3326 CAH_RAINOFARROWS_LEVEL3_COST | TO | M_CAH_RAINOFARROWS_LEVEL3_COST
3327 CAH_RAINOFARROWS_LEVEL2_COST | TO | M_CAH_RAINOFARROWS_LEVEL2_COST
3328 CAH_RAINOFARROWS_LEVEL1_COST | TO | M_CAH_RAINOFARROWS_LEVEL1_COST
3329 CAH_HEROASSASSIN_LEVEL4_COST | TO | M_CAH_HEROASSASSIN_LEVEL4_COST
3330 CAH_HEROASSASSIN_LEVEL3_COST | TO | M_CAH_HEROASSASSIN_LEVEL3_COST
3331 CAH_HEROASSASSIN_LEVEL2_COST | TO | M_CAH_HEROASSASSIN_LEVEL2_COST
3332 CAH_HEROASSASSIN_LEVEL1_COST | TO | M_CAH_HEROASSASSIN_LEVEL1_COST
3333 CAH_POISONATTACK_LEVEL4_COST | TO | M_CAH_POISONATTACK_LEVEL4_COST
3334 CAH_POISONATTACK_LEVEL3_COST | TO | M_CAH_POISONATTACK_LEVEL3_COST
3335 CAH_POISONATTACK_LEVEL2_COST | TO | M_CAH_POISONATTACK_LEVEL2_COST
3336 CAH_POISONATTACK_LEVEL1_COST | TO | M_CAH_POISONATTACK_LEVEL1_COST
3337 CAH_TRAINALLIES_LEVEL_3_COST | TO | M_CAH_TRAINALLIES_LEVEL_3_COST
3338 CAH_TRAINALLIES_LEVEL_2_COST | TO | M_CAH_TRAINALLIES_LEVEL_2_COST
3339 CAH_TRAINALLIES_LEVEL_1_COST | TO | M_CAH_TRAINALLIES_LEVEL_1_COST
3340 CAH_TOGGLEWEAPON_LEVEL2_COST | TO | M_CAH_TOGGLEWEAPON_LEVEL2_COST
3341 CAH_TOGGLEWEAPON_LEVEL1_COST | TO | M_CAH_TOGGLEWEAPON_LEVEL1_COST
3342 CAH_SUMMONALLIES_LEVEL4_COST | TO | M_CAH_SUMMONALLIES_LEVEL4_COST
3343 CAH_SUMMONALLIES_LEVEL3_COST | TO | M_CAH_SUMMONALLIES_LEVEL3_COST
3344 CAH_SUMMONALLIES_LEVEL2_COST | TO | M_CAH_SUMMONALLIES_LEVEL2_COST
3345 CAH_SUMMONALLIES_LEVEL1_COST | TO | M_CAH_SUMMONALLIES_LEVEL1_COST
3346 ELVEN_STATUE_FIRE_RESISTANCE | TO | M_ELVEN_STATUE_FIRE_RESISTANCE
3347 ELVEN_ELVENMIRROR_FIRE_DECAY | TO | M_ELVEN_ELVENMIRROR_FIRE_DECAY
3348 ELVEN_BATTLETOWER_FIRE_DECAY | TO | M_ELVEN_BATTLETOWER_FIRE_DECAY
3349 ELVEN_GREENPASTURE_FIRE_FUEL | TO | M_ELVEN_GREENPASTURE_FIRE_FUEL
3350 ELVEN_MALLORNTREE_FIRE_DECAY | TO | M_ELVEN_MALLORNTREE_FIRE_DECAY
3351 MEN_TOWEREXPANSION_FIRE_FUEL | TO | M_MEN_TOWEREXPANSION_FIRE_FUEL
3352 MEN_FORTRESS_FIRE_RESISTANCE | TO | M_MEN_FORTRESS_FIRE_RESISTANCE
3353 MEN_WORKSHOP_FIRE_RESISTANCE | TO | M_MEN_WORKSHOP_FIRE_RESISTANCE
3354 MEN_FORGE_FIRE_MAX_BURN_RATE | TO | M_MEN_FORGE_FIRE_MAX_BURN_RATE
3355 MEN_BARRACKS_FIRE_RESISTANCE | TO | M_MEN_BARRACKS_FIRE_RESISTANCE
3356 MEN_ARCHERY_RANGE_FIRE_DECAY | TO | M_MEN_ARCHERY_RANGE_FIRE_DECAY
3357 SPELL_SUNFLARE_EFFECT_RADIUS | TO | M_SPELL_SUNFLARE_EFFECT_RADIUS
3358 SPELL_HEAL_RADIUS_HORDE_SCAN | TO | M_SPELL_HEAL_RADIUS_HORDE_SCAN
3359 MORDOR_CATAPULT_THREAT_LEVEL | TO | M_MORDOR_CATAPULT_THREAT_LEVEL
3360 MOUTH_OF_SAURON_THREAT_LEVEL | TO | M_MOUTH_OF_SAURON_THREAT_LEVEL
3361 DWARVEN_PHALANX_HORDE_THREAT | TO | M_DWARVEN_PHALANX_HORDE_THREAT
3362 GONDOR_SPEARMEN_HORDE_THREAT | TO | M_GONDOR_SPEARMEN_HORDE_THREAT
3363 MORDOR_BLACKORC_HORDE_THREAT | TO | M_MORDOR_BLACKORC_HORDE_THREAT
3364 WILD_SPIDERLING_HORDE_THREAT | TO | M_WILD_SPIDERLING_HORDE_THREAT
3365 RIVENDELLARCHER_CRUSH_DAMAGE | TO | M_RIVENDELLARCHER_CRUSH_DAMAGE
3366 RIVENDELLLANCER_CRUSH_DAMAGE | TO | M_RIVENDELLLANCER_CRUSH_DAMAGE
3367 OATHBREAKER_SMALL_HORDE_SIZE | TO | M_OATHBREAKER_SMALL_HORDE_SIZE
3368 NORMAL_SIEGE_MED_HORDE_SPEED | TO | M_NORMAL_SIEGE_MED_HORDE_SPEED
3369 NORMAL_FOOT_SLOW_HORDE_SPEED | TO | M_NORMAL_FOOT_SLOW_HORDE_SPEED
3370 NORMAL_FOOT_MED_MEMBER_SPEED | TO | M_NORMAL_FOOT_MED_MEMBER_SPEED
3371 NORMAL_FOOT_FAST_HORDE_SPEED | TO | M_NORMAL_FOOT_FAST_HORDE_SPEED
3372 NORMAL_WILD_FAST_HORDE_SPEED | TO | M_NORMAL_WILD_FAST_HORDE_SPEED
3373 NORMAL_GOOD_FAST_HORDE_SPEED | TO | M_NORMAL_GOOD_FAST_HORDE_SPEED
3374 NORMAL_EVIL_FAST_HORDE_SPEED | TO | M_NORMAL_EVIL_FAST_HORDE_SPEED
3375 CREATE_A_HERO_LEAP_DAMAGE_L2 | TO | M_CREATE_A_HERO_LEAP_DAMAGE_L2
3376 CREATE_A_HERO_LEAP_DAMAGE_L1 | TO | M_CREATE_A_HERO_LEAP_DAMAGE_L1
3377 CREATE_A_HERO_ASSASSIN_RANGE | TO | M_CREATE_A_HERO_ASSASSIN_RANGE
3378 CREATE_A_HERO_INFERNAL_RANGE | TO | M_CREATE_A_HERO_INFERNAL_RANGE
3379 CREATE_A_HERO_FIREBALL_RANGE | TO | M_CREATE_A_HERO_FIREBALL_RANGE
3380 CREATE_A_HERO_MOUNTED_DAMAGE | TO | M_CREATE_A_HERO_MOUNTED_DAMAGE
3381 CREATE_A_HERO_FIRINGDURATION | TO | M_CREATE_A_HERO_FIRINGDURATION
3382 CREATE_A_HERO_PREATTACKDELAY | TO | M_CREATE_A_HERO_PREATTACKDELAY
3383 CREATE_A_HERO_LVL9_EXP_AWARD | TO | M_CREATE_A_HERO_LVL9_EXP_AWARD
3384 CREATE_A_HERO_LVL8_EXP_AWARD | TO | M_CREATE_A_HERO_LVL8_EXP_AWARD
3385 CREATE_A_HERO_LVL7_EXP_AWARD | TO | M_CREATE_A_HERO_LVL7_EXP_AWARD
3386 CREATE_A_HERO_LVL6_EXP_AWARD | TO | M_CREATE_A_HERO_LVL6_EXP_AWARD
3387 CREATE_A_HERO_LVL5_EXP_AWARD | TO | M_CREATE_A_HERO_LVL5_EXP_AWARD
3388 CREATE_A_HERO_LVL4_EXP_AWARD | TO | M_CREATE_A_HERO_LVL4_EXP_AWARD
3389 CREATE_A_HERO_LVL3_EXP_AWARD | TO | M_CREATE_A_HERO_LVL3_EXP_AWARD
3390 CREATE_A_HERO_LVL2_EXP_AWARD | TO | M_CREATE_A_HERO_LVL2_EXP_AWARD
3391 CREATE_A_HERO_LVL1_EXP_AWARD | TO | M_CREATE_A_HERO_LVL1_EXP_AWARD
3392 SUMMONED_DRAGON_CRUSH_DAMAGE | TO | M_SUMMONED_DRAGON_CRUSH_DAMAGE
3393 SUMMONED_DRAGON_FLAME_RADIUS | TO | M_SUMMONED_DRAGON_FLAME_RADIUS
3394 SUMMONED_DRAGON_FLAME_DAMAGE | TO | M_SUMMONED_DRAGON_FLAME_DAMAGE
3395 ANGMAR_WHISPEROFDEATH_DAMAGE | TO | M_ANGMAR_WHISPEROFDEATH_DAMAGE
3396 WHISPEROFDEATH_OBJECT_FILTER | TO | M_WHISPEROFDEATH_OBJECT_FILTER
3397 HWALDAR_CRIPPLE_RANGE_WEAPON | TO | M_HWALDAR_CRIPPLE_RANGE_WEAPON
3398 ANGMAR_MORGRAMIR_RUIN_DAMAGE | TO | M_ANGMAR_MORGRAMIR_RUIN_DAMAGE
3399 ANGMAR_WITCHKING_MACE_DAMAGE | TO | M_ANGMAR_WITCHKING_MACE_DAMAGE
3400 MOUTH_OF_SAURON_DOUBT_RADIUS | TO | M_MOUTH_OF_SAURON_DOUBT_RADIUS
